GNLY
THY1
SERPINH1
TPST2
INPP5F
PECAM1
EZH2
SSR4
KRT86
NKG7
CD276
ZEB2
LYZ
NRP2
CD44
KLRB1
IL3RA
HLA-DRA
HLA-DQA2
CLU
CCR7
CPNE1
FCGR3A
IFITM3
CAMK1D
ALDH2
IFI44L
SDC1
GZMA
LAPTM5
FN1
DOCK9
TAGLN
VWF
CXCL9
PDGFRB
PSD
STOM
EMCN
BMI1
ID2
KRT81
KIN
MYL9
CHST15
EDNRA
S100A4
ITGB1
FOXP3
LY6E
PDGFRA
CD74
CAV1
PDCD1
ALDH1A1
SOX18
FAM177A1
CD36
CD86
CD24
SELP
ACTA2
KRT8
ARHGAP10
BCAM
CDH1
MCAM
CFD
EPCAM
CD68
ALDH1A3
AGR2
CD38
CD8A
CD2
IGHG1
TNS2
PTPRB
CD28
OAS1
ESR1
CD40
FOXA1
KRT15
CCL5
CD3G
GZMB
GZMK
CD33
IFI27
IGHG4
CLEC14A
MMP11
MKI67
ENTPD1
COL3A1
IFI44
GOLM1
MUC1
KDR
CXCL13
VIM
PTPRC
MX1
CD7
SOX9
PRDM1
SOCS3
MYH11
ISLR2
ALOX5AP
CD163
ALDH6A1
CCL3
PDPN
CD4
VCAM1
IGKC
SPARC
LEF1
KLRD1
ENG
B3GNT2
CD79A
CD14
ITGAM
IFIT3
KRT19
MSR1
POSTN
ITGAX
NOTCH1
SULF2
IL7R
KRT18
IFI6
AKR1A1
CD3D
EGFR
DUSP1
KLF4
CD34
HLA-DPA1
CXCL12
IGHM
MYLK
ISG15
C1GALT1C1
COL1A2
MAGEH1
AR
CD82
HLA-DRB5
JCHAIN
LEPR
ERBB2
THSD1
SEMA6A
KRT17
APOD
HLA-DRB1
CDH5
CSF1R
HAVCR2
LAYN
BST2
COL1A1
DCN
CXCL10
JAG1
