LARP1B
ARHGEF3
SLC9A3R2
NR1H2
CORO7
NDUFS1
NELFE
STMN1
KPNB1
FNBP4
RHOB
COPS7A
CCNE2
ELOF1
ABHD14A
LTBP3
ITSN1
VEGFB
KIF13B
RNF135
CCM2
COL3A1
SMCHD1
MRPS22
VWF
CTSK
CPSF1
SIGLEC1
IGKC
MRPL2
DPH3
EXD3
GYPC
TRIM22
RECQL5
LLGL1
PTP4A3
LIMCH1
HSPB11
SLC2A1
WDR74
IGFBP2
UBR2
IFI27L1
RASGRP2
STAMBP
ASH2L
CDK5RAP1
IGHA1
EFHD2
IDH3G
TGFBR2
DPYSL3
C1QB
ZNF771
FAM193B
RECQL4
ADI1
TESMIN
CHD6
PTOV1
IL10RA
PRKCSH
ZNF83
PEX11G
HES1
FSTL3
IDUA
LARP7
CD79A
MAPKAPK5
PNMT
KRAS
PODXL
DERL3
MTG2
ATG12
PUS3
DDB2
APOBEC3G
THOC5
HLA-B
RNASET2
SCNN1D
DENND1A
GBP3
MST1R
MPST
TMEM123
FZD2
FBLN2
GPSM1
RAP1B
STT3A
MYL6B
MAGOHB
TMEM184A
IGLC3
COMP
C5orf38
EBAG9
TMEM101
C12orf45
PCCB
GLCCI1
C1S
ZMYND19
ZFP36
GSK3A
OPTN
DEAF1
ARID4A
TIMP1
PILRA
CRABP2
SDHB
GNAI2
MIIP
NCKAP1L
TDRD3
ANGPTL4
MEN1
LUM
TTC31
IGLC2
OASL
PIH1D1
MID1IP1
NINJ1
CCDC88B
AKAP9
GBP5
TMEM259
BAD
NUP214
C2
SGTA
EXOSC1
CCL21
GPRC5A
AKR1A1
BRD9
SP6
SUGP1
S100A14
VAV1
RNF170
ZNF33B
HLA-DRB1
SEC23A
ARF6
SLC9A8
TEX2
SLC43A1
DVL1
ARID5A
INAFM1
SRPX2
UQCRC1
FAH
CX3CL1
DDIT3
SIGMAR1
UXS1
CYP27A1
THBS1
MAPK9
CFAP36
ARF5
TYROBP
CIR1
TIGD5
KIAA0895L
VCAM1
LRRC8A
FAM3A
ATF6B
CFDP1
SOX4
APBA2
MLST8
GBP4
ATP6AP1
ORC2
PHKB
FAAH
RARS2
CLU
DAPK3
FLNA
CORO1A
P4HA2
SURF1
IGFBP4
TSR2
SLPI
BSG
CTU2
NDUFA1
XPO6
PSMD4
ABHD4
UCK1
SLC4A5
TBCA
IGHM
TMEM86A
NDUFA12
BRK1
AGO2
CEP250
MED25
BOLA3
NEBL
MUCL1
PRPF6
AQP1
KMT2B
AAMDC
PLSCR1
CAPG
CUX1
STAT5A
GATA3
HSPA4
HNRNPUL2
XIAP
COL6A2
ZNF592
LGALS1
KLF9
RAB3GAP1
MMP9
UBL7
PXDN
ETFB
CXXC5
PIGQ
JMJD6
YTHDC1
TCF25
SF3B4
HLA-DMA
CDH11
ECM1
C2CD2L
ANKLE2
HLA-DMB
SMG9
UXT
FARP1
NDUFB2
MTMR12
MRPL23
ISG15
TNC
CSF1R
GRK3
PPM1G
TARBP1
SCD
BAIAP3
FAIM2
CADM4
VPS45
ZNF668
MS4A6A
KRT8
CD14
IFI44L
FOXP4
SYK
MVP
SLC16A3
SLC16A2
SPIN1
EXOSC10
TRIM25
BICDL1
NSMCE1
CCDC167
CHFR
EFEMP2
MORC2
SCAF1
IER5L
DNAJC1
PMP22
HDAC6
SASH1
PRPSAP1
NDUFV3
CTDSPL
STRN3
RRAS
DOCK6
PTRH1
AP5B1
JAG2
ATP6V0D1
CGGBP1
ARID5B
S100A9
FARSB
EMC3
SLC35A2
POLR2J
JAK3
ZNF217
INPP4B
AKT1S1
CD52
RUVBL1
SRSF5
SNTA1
ADAM15
PPHLN1
PLAC9
JCHAIN
ADCY3
WDR46
ZNF362
POR
NXN
ZNF337
SLC2A8
FUOM
WDR73
COMMD1
C1R
TANC2
PYURF
SPARC
DCXR
EIF3B
TXN2
GANAB
MYL9
GMPPA
GAR1
VIM
BCAM
DCAF6
LINGO1
PCIF1
PLTP
IGHG4
POLR2E
EPHB3
GSTM3
KIAA1217
MIB2
ARHGAP4
MYO1G
ASL
MPND
UBE2W
RMND1
VPS13D
PDCD5
LANCL1
TXNRD2
TCEA2
PHF13
PROSER1
NANS
PARN
PTGDS
KCTD10
MYL12B
BABAM1
HOOK3
TTI1
DNAJB2
PSCA
LAMTOR2
TRIM47
BRF1
FCER1G
SAMM50
TCEA3
TMEM14B
CALML5
GATC
DPP7
FBF1
ERAL1
PEX14
CCNB1IP1
PPP1R1A
SNX8
HPS6
JAK1
NTMT1
PPP1R37
INPP5J
UBXN1
ALDH16A1
MIF
TMX1
ZMAT5
MGMT
NEK7
PPIH
CORO1B
HSD17B1
MAGEF1
TXNDC17
LUC7L3
MGP
SMYD2
CLDN4
RND3
PAF1
UBA52
GEMIN4
REEP6
BRF2
ATL2
TRAP1
CD3D
BIN3
ECHDC2
COL4A1
ZFAND3
MYH10
ZNF524
BIRC2
CES2
KCNAB2
MUS81
PHF11
IKZF3
HLA-DPB1
TAX1BP3
INPP5D
MICAL1
METTL16
FSTL1
RAB3IL1
CERS5
SPSB1
SOD3
ARHGAP45
IFI27
ZNF791
RASA2
ISLR
DLG1
GPS1
C6orf136
IGLC7
PPP1R1B
GPR108
CD320
DNAJC7
RALGAPA2
CHD1
KRT17
PNISR
ZG16B
PLIN2
TNFRSF14
CHST11
KATNA1
AVEN
IGHG3
FASN
NIT2
ATAD1
HLA-DPA1
SCX
GLG1
ABCF3
SOS2
TNNT1
ERMP1
CD4
TACC3
HLA-DRA
SLC25A24
PTPRJ
ASMTL
COL8A2
MX2
NAA10
EIF3F
ZSWIM8
RIOK1
CNN2
KDM4B
SLFN13
KMT2E
LST1
COX5A
RAMP2
PLEKHO2
SLC22A18
BCL2L12
UBAP2L
PLXNA1
SH3BP5L
WIPF1
KAT6B
TNFRSF4
PITX1
EXOC5
ABCA7
CXCL10
SEMA4B
ITGB6
PLVAP
ARNT
CD74
SNX33
MAP3K14
MAP4K2
MFAP4
CARS2
ANO10
LAMB2
XAB2
TM7SF2
ARID1B
GMFG
WDFY3
NDUFB9
ITGB4
CCS
CSF1
MKNK1
FAM118A
CLASRP
AEBP1
C1orf216
SEMA3B
ALG3
TJP3
CCDC57
PHF21A
CPNE1
PER1
SRR
FADS2
CBLC
CD68
CCL19
LIMK1
SLC8B1
TPM2
LTF
TMBIM6
ASCL2
PNP
PLXND1
CCDC80
CLDN3
FUS
NRP1
ERI3
RGS1
ZNF91
RSRP1
HYI
AGR2
ENPP1
TBC1D10A
HMGB2
PLLP
CROCC
DESI1
LRWD1
TOM1L2
PLK1
PWP1
ARHGEF10L
SFSWAP
POSTN
CCL2
HCST
ZNF787
GBP2
LUC7L
LMF1
WDR13
PODNL1
AHCY
LYL1
ARHGAP10
DMAP1
NCKAP5L
ZNRF1
TRAF5
SAT1
FAM117A
ARHGAP5
MICALL2
NFIC
ACER3
MRPL21
SNF8
AGAP2
SPAG9
C15orf61
ANKRD12
TFF3
EXOSC2
HELZ2
GAS6
TBC1D23
ZMYND8
LTB4R
SNAPC3
KRT86
FAM102A
NDUFB3
NDUFC1
MAP1S
TEX10
CUTC
RBL1
PKNOX1
PTPRC
PPIB
TP53I3
CCT4
PRKAB1
TRAC
LCK
GALK1
SRRT
FGFR1
PGLS
GNAS
NDRG1
MFSD3
DPM2
LMNA
PDGFRA
MAVS
BGN
RBM42
ASNS
ARHGEF40
C4orf48
EIF1AD
FAM160B1
AURKAIP1
ITGA5
CAMTA2
BTG1
SVIL
FKBP8
ARFGEF2
COQ4
BRPF1
FAP
RALBP1
ZDHHC12
NFATC4
PLP2
MAP3K6
MYO9B
TESK1
PSTPIP1
PAFAH1B3
STK17A
APOC1
NMRAL1
SEC14L2
TAX1BP1
ZFR
PLPPR2
CRELD2
HLA-DOA
ARID3A
PAQR4
SRSF1
THOC6
AGPAT2
TSPAN33
MRPL51
TBXAS1
YIPF4
C3
DHX16
GPX3
FDPS
PWWP2B
HDAC5
DDT
ELN
TNFRSF21
CORO2A
EVA1B
PIM2
LCP1
ACAA1
MCTS1
RAB3A
EIF3G
DPP9
QSOX1
RAB11FIP1
OSBPL8
MRPL54
ABCA3
MZT2A
GNL2
MUC1
DDAH1
INTS8
DDRGK1
COL14A1
FN1
MED13L
NUP93
ATG16L2
ILKAP
PLK2
KRT10
SYDE1
EZH2
FKBP10
R3HDM2
CPVL
HCFC1R1
RASSF3
PDGFRB
CRACR2B
TRAPPC4
ZNF644
ZFPL1
ANKRD28
GBP1
BOK
TRIM14
OGFRL1
SRGN
BST2
RABGAP1L
CHCHD6
HSPB1
HAGHL
RSL1D1
STK4
APBB2
CERCAM
NR4A1
CTIF
A2M
CCDC106
TMEM160
UBA6
AP5Z1
PNPLA6
SNRPD3
MAGI1
