RSPO3
GNLY
THY1
TPSD1
SERPINH1
HBB
TPST2
CD1C
INPP5F
PECAM1
EZH2
MS4A1
KRT86
SELE
SSR4
NKG7
CD276
ZEB2
KRT5
LYZ
CD44
NRP2
KLRB1
IL3RA
HLA-DRA
HLA-DQA2
CLU
CCR7
CPNE1
FCGR3A
IFITM3
CAMK1D
IGLL1
ALDH2
PRF1
IFI44L
SDC1
GZMA
KRT14
LAPTM5
FN1
CYP3A7
DOCK9
TAGLN
VWF
CXCL9
PDGFRB
GPR25
PSD
KLRF1
STOM
EMCN
BMI1
ID2
KRT81
KIN
MYL9
CHST15
EDNRA
DLK1
S100A4
ITGB1
FOXP3
LY6E
PDGFRA
CD74
CAV1
PDCD1
ALDH1A1
SOX18
KRT23
FAM177A1
CD36
CD86
CD24
SELP
ACTA2
CTSG
KRT8
ARHGAP10
BCAM
CDH1
CLEC4C
MCAM
CFD
EPCAM
CD68
IL2RA
ALDH1A3
AGR2
CD38
CD8A
IGHD
CD2
IGHG1
TNS2
PTPRB
PGR
CD28
OAS1
ESR1
CD40
FOXA1
KRT15
IL1B
CCL5
CD3G
GZMB
KIT
MARCO
GZMK
CD33
IFI27
IGHG4
CLEC14A
MMP11
HBA2
MKI67
ENTPD1
COL3A1
IFI44
GOLM1
MUC1
KDR
CXCL13
IGHG2
VIM
ADH1B
CD19
KLRC1
PTPRC
MX1
CD7
WIF1
ALPI
SOX9
PRDM1
IL21
MYH11
ISLR2
SOCS3
CMA1
ALOX5AP
CD163
ALDH6A1
CCL3
PDPN
CD3E
CD4
VCAM1
IGKC
SPARC
LEF1
ANKRD30A
KLRD1
ENG
B3GNT2
BANK1
CD79A
CD14
ITGAM
IFIT3
KRT19
CLEC5A
MSR1
POSTN
ITGAX
NOTCH1
SULF2
CD27
TMPRSS11D
IL7R
KRT18
IFI6
AKR1A1
CD3D
EGFR
CRYBB2
CYP3A4
DUSP1
KLF4
CD34
TLL1
CPA3
CYP3A5
HLA-DPA1
CXCL12
LAMP3
IGHM
MYLK
GABRP
SCARA5
ISG15
C1GALT1C1
COL1A2
MAGEH1
AR
CD82
HLA-DRB5
JCHAIN
LEPR
ERBB2
CCR8
THSD1
SEMA6A
KRT17
APOD
HLA-DRB1
CDH5
CSF1R
HAVCR2
LAYN
BST2
COL1A1
DCN
MET
CXCL10
JAG1
