ACTA2
ACTA3
ADH1B
AGR2
AKR1A1
ALDH1A1
ALDH1A3
ALDH2
ALDH6A1
ALOX5AP
ALPI
ANKRD30A
APOD
AR
ARHGAP10
B3GNT2
BANK1
BCAM
BMI1
BST2
C1GALT1C1
CAMK1D
CAV1
CCL3
CCL5
CCR7
CCR8
CD14
CD163
CD19
CD1C
CD2
CD24
CD27
PD-L1
CD276
CD28
CD33
CD34
CD36
CD38
CD3D
CD3E
CD3G
CD4
CD40
CD44
CD68
CD7
CD74
CD79A
CD82
CD86
CD8A
CDH1
CDH5
CFD
CHST15
CLEC14A
CLEC4C
CLEC5A
CLU
CMA1
COL1A1
COL1A2
COL3A1
CPA3
CPNE1
CRYBB2
CSF1R
CTSG
CXCL10
CXCL12
CXCL13
CXCL9
CYP3A4
CYP3A5
CYP3A7
DCN
DLK1
DOCK9
DUSP1
EDNRA
EGFR
EMCN
ENG
ENTPD1
EPCAM
ERBB2
HER2
ESR1
EZH2
FAM177A1
FCGR3A
CD16
FN1
FOXA1
FOXP3
GABRP
GNLY
GOLM1
GPR25
GZMA
GZMB
GZMK
HAVCR2
HBA2
HBB
HLA-DPA1
HLA-DQA2
HLA-DRA
HLA-DRB1
HLA-DRB5
ID2
IFI27
IFI44
IFI44L
IFI6
IFIT3
IFITM3
IGHD
IGHG1
IGHG2
IGHG4
IGHM
IGKC
IGLL1
IGLL5
IL17
IL1B
IL21
CD25
IL2RA
IL3RA
CD127
IL7R
INPP5F
ISG15
ISLR2
CD49f
ITGAM
ITGAX
ITGB1
JAG1
JCHAIN
IGJ
KDR
KIN
KIT
KLF4
KLRB1
KLRC1
KLRD1
KLRF1
KRT14
KRT15
KRT17
KRT18
KRT19
KRT23
KRT5
KRT8
KRT81
KRT86
LAMP3
LAPTM5
LAYN
LEF1
LEPR
LY6E
LYZ
MAGEH1
MARCO
MCAM
CD146
MET
MKI67
MMP11
CD20
MS4A1
MSR1
MUC1
MX1
MYH11
MYL9
MYLK
NKG7
NOTCH1
NRP2
OAS1
PDCD1
PDGFRA
PDGFRB
PDPN
CD31
PECAM1
PGR
POSTN
PRDM1
PRF1
PSD
PTPRB
PTPRC
CD45
RGS5
RSPO3
S100A4
SCARA5
SDC1
SELE
SELP
SEMA6A
PN1
SERPINH1
SOCS3
SOX18
SOX9
SPARC
SSR4
STOM
SULF2
TAGLN
CD141
THSD1
THY1
CD90
TLL1
TMPRSS11D
TNS2
TPSD1
TPST2
VCAM1
VIM
VWF
WIF1
ZEB2
AFF6
TMP1
FASLG (soluble)
IGFIR (soluble)
IR
LIFR (soluble)
TIE1 (soluble)
VEGFR2/KDR
CPS-II
PBCS
UKBGS
MCCS
pKARMA
ALDH
GTAT3
CD45RA
VEGFR3/FLT4
CD140b
